Date,Weight
10/31/2021,155.2
10/30/2021,155.2
10/29/2021,156.2
10/28/2022,157.4
10/27/2021,156.8
10/24/2021,157.0
10/23/2021,155.0
10/21/2021,155.6
10/20/2021,155.0
10/19/2021,157.8
10/18/2021,156.0
10/17/2021,154.0
10/16/2021,153.6
10/15/2021,154.0
10/14/2021,152.6
10/13/2021,153.2
10/12/2021,154.0
10/11/2021,154.0
10/10/2021,153.8
10/09/2021,155.2
10/08/2021,159.0
10/07/2021,156.0
10/06/2021,156.0
10/05/2022,155.8
10/04/2021,155.4
10/03/2022,152.0
10/02/2021,154.0
10/01/2021,153.6
